 日期 , 时间 , 纬度方向 , 纬度／度 , 经度方向, 经度／度 , 航向／度 ，海拔／米 ,速度/km/h , 卫星颗数／颗
2017年05月10日,9时36分38秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 09
2017年05月10日,9时36分39秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 09
2017年05月10日,9时36分40秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 09
2017年05月10日,9时36分41秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 09
2017年05月10日,9时36分42秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 09
2017年05月10日,9时36分43秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 09
2017年05月10日,9时36分44秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 09
2017年05月10日,9时36分45秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 09
2017年05月10日,9时36分46秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 09
2017年05月10日,9时36分47秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 10
2017年05月10日,9时36分48秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 10
2017年05月10日,9时36分49秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 10
2017年05月10日,9时36分50秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 10
2017年05月10日,9时36分51秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 10
2017年05月10日,9时36分52秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 10
2017年05月10日,9时36分53秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 10
2017年05月10日,9时36分54秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 10
2017年05月10日,9时36分55秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 10
2017年05月10日,9时36分56秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 10
2017年05月10日,9时36分57秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 10
2017年05月10日,9时36分58秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 10
2017年05月10日,9时36分59秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 10
2017年05月10日,9时37分0秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 10
2017年05月10日,9时37分1秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 10
2017年05月10日,9时37分2秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 10
2017年05月10日,9时37分3秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 10
2017年05月10日,9时37分4秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 10
2017年05月10日,9时37分5秒，   4047.722, N,  11141.691, E, 343.1, 1053, 5.56, 09
2017年05月10日,9时37分6秒，   4047.724, N,  11141.690, E, 342.6, 1053, 12.96, 10
2017年05月10日,9时37分7秒，   4047.726, N,  11141.688, E, 339.3, 1054, 20.37, 10
2017年05月10日,9时37分8秒，   4047.730, N,  11141.687, E, 340.1, 1054, 24.08, 10
2017年05月10日,9时37分9秒，   4047.733, N,  11141.685, E, 339.4, 1054, 25.93, 10
2017年05月10日,9时37分10秒，   4047.737, N,  11141.682, E, 338.5, 1054, 27.78, 10
2017年05月10日,9时37分11秒，   4047.742, N,  11141.680, E, 337.7, 1054, 29.63, 10
2017年05月10日,9时37分12秒，   4047.746, N,  11141.678, E, 338.3, 1054, 29.63, 10
2017年05月10日,9时37分13秒，   4047.750, N,  11141.676, E, 338.1, 1055, 31.48, 10
